MISSING_CANDIDATE	丘	く	9
	T	ぽう	グラーフ卵胞	ぐらーふらんぽう
	T	ぽう	卵胞	らんぽう
	T	ぽう	卵胞ホルモン	らんぽうほるもん
	T	ぽう	卵胞期	らんぽうき
MISSING_CANDIDATE	脂	やに	6
	T	やに	松脂	まつやに
	T	やに	目脂	めやに
	T	やに	眼脂	めやに
	T	やに	脂	やに
	T	やに	脂下がる	やにさがる
MISSING_CANDIDATE	脚	きゃっ	4
	T	きゃっ	脚下	きゃっか
	T	きゃっ	脚下照顧	きゃっかしょうこ
	T	きゃっ	脚光	きゃっこう
	T	きゃっ	脚光を浴びる	きゃっこうをあびる
MISSING_CANDIDATE	脚	ぎゃ	3
	T	ぎゃ	行脚	あんぎゃ
	T	ぎゃ	行脚僧	あんぎゃそう
	T	ぎゃ	雲水行脚	うんすいあんぎゃ
MISSING_CANDIDATE	脱	ぬぎ	3
	T	ぬぎ	沓脱	くつぬぎ
	T	ぬぎ	片肌脱	かたはだぬぎ
	T	ぬぎ	脱捨てる	ぬぎすてる
MISSING_CANDIDATE	腕	かいな	3
	T	かいな	腕	かいな
	T	かいな	腕を返す	かいなをかえす
	T	かいな	腕捻り	かいなひねり
MISSING_CANDIDATE	腫	ば	3
	T	ば	みみず腫れ	みみずばれ
	T	ば	ミミズ腫れ	みみずばれ
	T	ば	地腫れ	じばれ
MISSING_CANDIDATE	膚	ぷ	4
	T	ぷ	完膚	かんぷ
	T	ぷ	完膚なきまで	かんぷなきまで
	T	ぷ	完膚無きまで	かんぷなきまで
	T	ぷ	雪膚	せっぷ
MISSING_CANDIDATE	舞	も	4
	T	も	仕舞うた	しもうた
	T	も	仕舞うた屋	しもうたや
	T	も	仕舞た	しもた
	T	も	仕舞た屋	しもたや
MISSING_CANDIDATE	苛	いら	9
	T	いら	苛ち	いらち
	T	いら	苛っと	いらっと
	T	いら	苛つく	いらつく
	T	いら	苛立たしい	いらだたしい
	T	いら	苛立たしげ	いらだたしげ
MISSING_CANDIDATE	荒	すら	3
	T	すら	益荒男	ますらお
	T	すら	益荒男振	ますらおぶり
	T	すら	益荒男振り	ますらおぶり
MISSING_CANDIDATE	葛	かずら	13
	T	かずら	定家葛	ていかかずら
	T	かずら	屁糞葛	へくそかずら
	T	かずら	日陰の葛	ひかげのかずら
	T	かずら	柾の葛	まさきのかずら
	T	かずら	段葛	だんかずら
MISSING_CANDIDATE	葛	かっ	3
	T	かっ	葛根	かっこん
	T	かっ	葛根湯	かっこんとう
	T	かっ	葛藤	かっとう
MISSING_CANDIDATE	蔑	べっ	3
	T	べっ	女性蔑視	じょせいべっし
	T	べっ	蔑称	べっしょう
	T	べっ	蔑視	べっし
MISSING_CANDIDATE	薄	ぱく	3
	T	ぱく	浅薄	せんぱく
	T	ぱく	淡薄	たんぱく
	T	ぱく	皮相浅薄	ひそうせんぱく
MISSING_CANDIDATE	薦	こも	13
	T	こも	お薦	おこも
	T	こも	御薦	おこも
	T	こも	真薦	まこも
	T	こも	粗薦	あらこも
	T	こも	荒薦	あらこも
MISSING_CANDIDATE	藩	ぱん	4
	T	ぱん	列藩	れっぱん
	T	ぱん	脱藩	だっぱん
	T	ぱん	親藩	しんぱん
	T	ぱん	親藩大名	しんぱんだいみょう
MISSING_CANDIDATE	虐	いじ	11
	T	いじ	ネット虐め	ねっといじめ
	T	いじ	弱いもの虐め	よわいものいじめ
	T	いじ	弱い者虐め	よわいものいじめ
	T	いじ	虐め	いじめ
	T	いじ	虐めっ子	いじめっこ
MISSING_CANDIDATE	虚	そら	3
	T	そら	虚	そら
	T	そら	虚事	そらごと
	T	そら	虚言	そらごと
MISSING_CANDIDATE	蛇	くちなわ	3
	T	くちなわ	蛇	くちなわ
	T	くちなわ	蛇いちご	くちなわいちご
	T	くちなわ	蛇苺	くちなわいちご
MISSING_CANDIDATE	蜜	み	16
	T	み	夏蜜柑	なつみかん
	T	み	小蜜柑草	こみかんそう
	T	み	波羅蜜多	はらみた
	T	み	温州蜜柑	うんしゅうみかん
	T	み	温州蜜柑	おんしゅうみかん
MISSING_CANDIDATE	蜜	みっ	4
	T	みっ	波羅蜜多	はらみった
	T	みっ	般若波羅蜜多	はんにゃはらみった
	T	みっ	蜜接	みっせつ
	T	みっ	蜜腺	みっせん
MISSING_CANDIDATE	衝	つい	3
	T	つい	衝立	ついたて
	T	つい	衝立て	ついたて
	T	つい	衝立障子	ついたてしょうじ
MISSING_CANDIDATE	衝	つく	7
	T	つく	花衝羽根空木	はなつくばねうつぎ
	T	つく	衝羽根	つくばね
	T	つく	衝羽根朝顔	つくばねあさがお
	T	つく	衝羽根樫	つくばねがし
	T	つく	衝羽根空木	つくばねうつぎ
MISSING_CANDIDATE	袋	てい	5
	T	てい	布袋	ほてい
	T	てい	布袋竹	ほていちく
	T	てい	布袋腹	ほていばら
	T	てい	布袋葵	ほていあおい
	T	てい	布袋蘭	ほていらん
MISSING_CANDIDATE	袋	び	9
	T	び	世知弁足袋	せちべんたび
	T	び	地下足袋	じかたび
	T	び	数寄屋足袋	すきやたび
	T	び	白足袋	しろたび
	T	び	直足袋	じかたび
MISSING_CANDIDATE	被	かず	3
	T	かず	被く	かずく
	T	かず	被ける	かずける
	T	かず	被け物	かずけもの
MISSING_CANDIDATE	被	かむ	3
	T	かむ	被る	かむる
	T	かむ	貝被り	かいかむり
	T	かむ	頬被り	ほおかむり
MISSING_CANDIDATE	裸	ぱだか	6
	T	ぱだか	すっ裸	すっぱだか
	T	ぱだか	まっ裸	まっぱだか
	T	ぱだか	真っ裸	まっぱだか
	T	ぱだか	真裸	まっぱだか
	T	ぱだか	素っ裸	すっぱだか
MISSING_CANDIDATE	褐	かち	3
	T	かち	褐	かち
	T	かち	褐色	かちいろ
	T	かち	青褐	あおかち
MISSING_CANDIDATE	褒	ぼ	4
	T	ぼ	べた褒め	べたぼめ
	T	ぼ	ベタ褒め	べたぼめ
	T	ぼ	仲間褒め	なかまぼめ
	T	ぼ	我褒め	われぼめ
MISSING_CANDIDATE	襲	がさね	4
	T	がさね	下襲	したがさね
	T	がさね	桜襲	さくらがさね
	T	がさね	菊襲	きくがさね
	T	がさね	萩襲	はぎがさね
MISSING_CANDIDATE	覆	お	4
	T	お	日覆い	ひおい
	T	お	覆いかぶさる	おいかぶさる
	T	お	覆い被さる	おいかぶさる
	T	お	貝覆い	かいおい
MISSING_CANDIDATE	託	ことづ	3
	T	ことづ	託かる	ことづかる
	T	ことづ	託け	ことづけ
	T	ことづ	託ける	ことづける
MISSING_CANDIDATE	詠	よみ	4
	T	よみ	詠人	よみびと
	T	よみ	詠人知らず	よみびとしらず
	T	よみ	詠手	よみて
	T	よみ	詠込む	よみこむ
MISSING_CANDIDATE	詣	もうで	4
	T	もうで	初詣	はつもうで
	T	もうで	熊野詣	くまのもうで
	T	もうで	物詣	ものもうで
	T	もうで	神詣	かみもうで
MISSING_CANDIDATE	詰	きっ	3
	T	きっ	詰屈	きっくつ
	T	きっ	詰屈した	きっくつした
	T	きっ	詰責	きっせき
MISSING_CANDIDATE	詰	つま	10
	T	つま	せっぱ詰る	せっぱつまる
	T	つま	切羽詰る	せっぱつまる
	T	つま	押し詰る	おしつまる
	T	つま	煮詰る	につまる
	T	つま	詰らない	つまらない
MISSING_CANDIDATE	詰	づま	17
	T	づま	どん詰り	どんづまり
	T	づま	寸詰り	すんづまり
	T	づま	息詰る	いきづまる
	T	づま	手詰り	てづまり
	T	づま	気詰り	きづまり
MISSING_CANDIDATE	誘	おび	4
	T	おび	誘き入れる	おびきいれる
	T	おび	誘き出す	おびきだす
	T	おび	誘き寄せる	おびきよせる
	T	おび	誘く	おびく
MISSING_CANDIDATE	請	じょう	4
	T	じょう	公請	くじょう
	T	じょう	勧請	かんじょう
	T	じょう	召請	しょうじょう
	T	じょう	招請	しょうじょう
MISSING_CANDIDATE	謁	えっ	4
	T	えっ	謁す	えっす
	T	えっ	謁する	えっする
	T	えっ	謁見	えっけん
	T	えっ	謁見の間	えっけんのま
MISSING_CANDIDATE	貞	て	3
	T	て	不貞寝	ふてね
	T	て	不貞腐れ	ふてくされ
	T	て	不貞腐れる	ふてくされる
MISSING_CANDIDATE	販	ぱん	4
	T	ぱん	三洋信販	さんようしんぱん
	T	ぱん	信販	しんぱん
	T	ぱん	信販会社	しんぱんがいしゃ
	T	ぱん	物販	ぶっぱん
MISSING_CANDIDATE	貫	がん	4
	T	がん	本貫	ほんがん
	T	がん	流し満貫	ながしまんがん
	T	がん	満貫	まんがん
	T	がん	黄金千貫	こがねせんがん
MISSING_CANDIDATE	貼	ばり	4
	T	ばり	下貼	したばり
	T	ばり	切貼	きりばり
	T	ばり	目貼剥ぐ	めばりはぐ
	T	ばり	裏貼	うらばり
MISSING_CANDIDATE	賢	がしこ	3
	T	がしこ	ずる賢い	ずるがしこい
	T	がしこ	悪賢い	わるがしこい
	T	がしこ	狡賢い	ずるがしこい
MISSING_CANDIDATE	賢	げん	5
	T	げん	普賢	ふげん
	T	げん	普賢延命菩薩	ふげんえんめいぼさつ
	T	げん	普賢菩薩	ふげんぼさつ
	T	げん	観普賢経	かんふげんきょう
	T	げん	観普賢経	かんふげんぎょう
MISSING_CANDIDATE	賢	さか	5
	T	さか	女賢しくて牛売り損なう	おんなさかしくてうしうりそこなう
	T	さか	真賢木	まさかき
	T	さか	賢しい	さかしい
	T	さか	賢しら	さかしら
	T	さか	賢木	さかき
MISSING_CANDIDATE	贈	おくり	3
	T	おくり	贈主	おくりぬし
	T	おくり	贈名	おくりな
	T	おくり	贈物	おくりもの
MISSING_CANDIDATE	越	え	3
	T	え	越天楽	えてんらく
	T	え	越歴	えれき
	T	え	越殿楽	えてんらく
MISSING_CANDIDATE	越	えち	6
	T	えち	大岡越前	おおおかえちぜん
	T	えち	越前	えちぜん
	T	えち	越後	えちご
	T	えち	越後兎	えちごうさぎ
	T	えち	越後屋	えちごや
MISSING_CANDIDATE	跡	と	4
	T	と	跡切れ	とぎれ
	T	と	跡切れる	とぎれる
	T	と	跡絶え	とだえ
	T	と	跡絶える	とだえる
MISSING_CANDIDATE	跳	はね	5
	T	はね	跳人	はねと
	T	はね	跳地鼠	はねじねずみ
	T	はね	跳橋	はねばし
	T	はね	跳満	はねまん
	T	はね	跳炭	はねずみ
MISSING_CANDIDATE	辱	はずか	4
	T	はずか	辱しめ	はずかしめ
	T	はずか	辱しめる	はずかしめる
	T	はずか	辱しめをうける	はずかしめをうける
	T	はずか	辱しめを受ける	はずかしめをうける
MISSING_CANDIDATE	迎	ごう	5
	T	ごう	ご来迎	ごらいごう
	T	ごう	御来迎	ごらいごう
	T	ごう	来迎	らいごう
	T	ごう	来迎和讃	らいごうわさん
	T	ごう	来迎柱	らいごうばしら
MISSING_CANDIDATE	迫	せ	7
	T	せ	迫り	せり
	T	せ	迫り上がる	せりあがる
	T	せ	迫り上げる	せりあげる
	T	せ	迫り上る	せりあがる
	T	せ	迫り出す	せりだす
MISSING_CANDIDATE	迫	せり	7
	T	せり	迫	せり
	T	せり	迫上がる	せりあがる
	T	せり	迫元	せりもと
	T	せり	迫出す	せりだす
	T	せり	迫台	せりだい
MISSING_CANDIDATE	迫	ぱく	21
	T	ぱく	ひっ迫	ひっぱく
	T	ぱく	上腹部圧迫法	じょうふくぶあっぱくほう
	T	ぱく	切迫	せっぱく
	T	ぱく	切迫屠殺	せっぱくとさつ
	T	ぱく	切迫性尿失禁	せっぱくせいにょうしっきん
MISSING_CANDIDATE	逃	の	3
	T	の	乗り逃がす	のりのがす
	T	の	見逃がす	みのがす
	T	の	言い逃がれ	いいのがれ
MISSING_CANDIDATE	透	とお	9
	T	とお	光を透す	ひかりをとおす
	T	とお	染み透る	しみとおる
	T	とお	染透る	しみとおる
	T	とお	沁み透る	しみとおる
	T	とお	見透し	みとおし
MISSING_CANDIDATE	逐	お	4
	T	お	逐い払う	おいはらう
	T	お	逐う	おう
	T	お	逐って	おって
	T	お	鹿を逐う者は山を見ず	しかをおうものはやまをみず
MISSING_CANDIDATE	途	ず	11
	T	ず	一途	いちず
	T	ず	一途に	いちずに
	T	ず	三途の川	さんずのかわ
	T	ず	三途の河	さんずのかわ
	T	ず	三途川	さんずがわ
MISSING_CANDIDATE	逸	いち	5
	T	いち	逸	いち
	T	いち	逸早く	いちはやく
	T	いち	逸物	いちぶつ
	T	いち	逸物	いちもつ
	T	いち	逸速く	いちはやく
MISSING_CANDIDATE	逸	はや	3
	T	はや	逸り気	はやりぎ
	T	はや	逸り立つ	はやりたつ
	T	はや	逸る	はやる
MISSING_CANDIDATE	遍	ぺん	10
	T	ぺん	もう一遍	もういっぺん
	T	ぺん	一遍	いっぺん
	T	ぺん	一遍に	いっぺんに
	T	ぺん	正直一遍	しょうじきいっぺん
	T	ぺん	現場百遍	げんばひゃっぺん
MISSING_CANDIDATE	邪	ざ	3
	T	ざ	伊邪那岐	いざなき
	T	ざ	伊邪那岐	いざなぎ
	T	ざ	伊邪那美	いざなみ
MISSING_CANDIDATE	郎	ろ	12
	T	ろ	この野郎	このやろ
	T	ろ	和郎	わろ
	T	ろ	女郎	じょろ
	T	ろ	女郎買	じょろかい
	T	ろ	女郎買い	じょろかい
MISSING_CANDIDATE	郭	かっ	3
	T	かっ	斑冠郭公	まだらかんむりかっこう
	T	かっ	郭公	かっこう
	T	かっ	鬼郭公	おにかっこう
MISSING_CANDIDATE	酌	じゃく	3
	T	じゃく	手酌	てじゃく
	T	じゃく	手酌酒	てじゃくさけ
	T	じゃく	相酌	あいじゃく
MISSING_CANDIDATE	酔	え	3
	T	え	酔い	えい
	T	え	酔い醒めの水下戸知らず	えいさめのみずげこしらず
	T	え	酔う	えう
MISSING_CANDIDATE	酷	こっ	3
	T	こっ	酷刑	こっけい
	T	こっ	酷寒	こっかん
	T	こっ	酷寒猛暑	こっかんもうしょ
MISSING_CANDIDATE	釈	しゃ	19
	T	しゃ	お釈迦	おしゃか
	T	しゃ	お釈迦さま	おしゃかさま
	T	しゃ	お釈迦さん	おしゃかさん
	T	しゃ	お釈迦様	おしゃかさま
	T	しゃ	寝釈迦	ねしゃか
MISSING_CANDIDATE	鈍	おそ	3
	T	おそ	鈍い	おそい
	T	おそ	鈍し	おそし
	T	おそ	頭の回転が鈍い	あたまのかいてんがおそい
MISSING_CANDIDATE	鈍	のろ	9
	T	のろ	妻鈍ジー	さいのろじー
	T	のろ	薄鈍	うすのろ
	T	のろ	鈍	のろ
	T	のろ	鈍い	のろい
	T	のろ	鈍くさい	のろくさい
MISSING_CANDIDATE	錯	さっ	4
	T	さっ	貨幣錯覚	かへいさっかく
	T	さっ	錯簡	さっかん
	T	さっ	錯覚	さっかく
	T	さっ	錯角	さっかく
MISSING_CANDIDATE	鍛	か	3
	T	か	鍛治	かじ
	T	か	鍛治屋	かじや
MISSING_CANDIDATE	鐘	しき	3
	T	しき	黄鐘	おうしき
	T	しき	黄鐘調	おうしきじょう
	T	しき	黄鐘調	おうしきちょう
MISSING_CANDIDATE	閲	えっ	5
	T	えっ	閲す	えっす
	T	えっ	閲する	えっする
	T	えっ	閲兵	えっぺい
	T	えっ	閲兵台	えっぺいだい
	T	えっ	閲兵式	えっぺいしき
MISSING_CANDIDATE	附	つけ	6
	T	つけ	受附	うけつけ
	T	つけ	早附木	はやつけぎ
	T	つけ	見附	みつけ
	T	つけ	門附	かどつけ
	T	つけ	附加える	つけくわえる
MISSING_CANDIDATE	陰	おん	11
	T	おん	五陰	ごおん
	T	おん	五陰盛苦	ごおんじょうく
	T	おん	大陰	だいおん
	T	おん	陰陽	おんよう
	T	おん	陰陽五行	おんようごぎょう
MISSING_CANDIDATE	陳	ひね	5
	T	ひね	陳	ひね
	T	ひね	陳こびる	ひねこびる
	T	ひね	陳米	ひねごめ
	T	ひね	陳米	ひねまい
	T	ひね	陳臭い	ひねくさい
MISSING_CANDIDATE	隠	かくし	4
	T	かくし	溝隠	みぞかくし
	T	かくし	羽隠	はねかくし
	T	かくし	釘隠	くぎかくし
	T	かくし	雉隠	きじかくし
MISSING_CANDIDATE	隠	かくれ	3
	T	かくれ	隠亀	かくれがめ
	T	かくれ	隠熊之実	かくれくまのみ
	T	かくれ	隠蟹	かくれがに
MISSING_CANDIDATE	隠	ちん	5
	T	ちん	雪隠	せっちん
	T	ちん	雪隠で饅頭	せっちんでまんじゅう
	T	ちん	雪隠大工	せっちんだいく
	T	ちん	雪隠詰	せっちんづめ
	T	ちん	雪隠詰め	せっちんづめ
MISSING_CANDIDATE	隻	せっ	4
	T	せっ	一言隻句	いちごんせっく
	T	せっ	片言隻句	へんげんせっく
	T	せっ	隻句	せっく
	T	せっ	隻脚	せっきゃく
MISSING_CANDIDATE	雷	がみなり	3
	T	がみなり	日雷	ひがみなり
	T	がみなり	水雷	みずがみなり
	T	がみなり	火雷	ひがみなり
MISSING_CANDIDATE	震	ぶる	3
	T	ぶる	武者震い	むしゃぶるい
	T	ぶる	胴震い	どうぶるい
	T	ぶる	身震い	みぶるい
MISSING_CANDIDATE	霊	すだま	3
	T	すだま	生き霊	いきすだま
	T	すだま	生霊	いきすだま
	T	すだま	霊	すだま
MISSING_CANDIDATE	霊	み	3
	T	み	月夜霊	つきよみ
	T	み	月夜霊	つくよみ
	T	み	霊	み
MISSING_CANDIDATE	露	あら	3
	T	あら	露わ	あらわ
	T	あら	露わにする	あらわにする
	T	あら	馬脚を露わす	ばきゃくをあらわす
MISSING_CANDIDATE	露	あらわ	3
	T	あらわ	露	あらわ
	T	あらわ	露にする	あらわにする
	T	あらわ	馬脚を露す	ばきゃくをあらわす
MISSING_CANDIDATE	韓	はん	4
	T	はん	韓屋	はんおく
	T	はん	韓流	はんりゅう
	T	はん	韓流ドラマ	はんりゅうどらま
	T	はん	韓食	はんしょく
MISSING_CANDIDATE	項	うな	3
	T	うな	項垂れる	うなだれる
	T	うな	項着	うなつき
	T	うな	項着き	うなつき
MISSING_CANDIDATE	顎	がっ	3
	T	がっ	顎下腺	がっかせん
	T	がっ	顎脚	がっきゃく
	T	がっ	顎骨	がっこつ
MISSING_CANDIDATE	飢	かつ	3
	T	かつ	飢える	かつえる
	T	かつ	飢え死	かつえじに
	T	かつ	飢え死に	かつえじに
MISSING_CANDIDATE	飽	あき	4
	T	あき	飽足らない	あきたらない
	T	あき	飽足りない	あきたりない
	T	あき	飽足りる	あきたりる
	T	あき	飽足る	あきたる
MISSING_CANDIDATE	駆	かり	3
	T	かり	駆出す	かりだす
	T	かり	駆立てる	かりたてる
	T	かり	駆集める	かりあつめる
MISSING_CANDIDATE	騒	ざわ	4
	T	ざわ	騒つく	ざわつく
	T	ざわ	騒めき	ざわめき
	T	ざわ	騒めく	ざわめく
MISSING_CANDIDATE	騰	あ	4
	T	あ	騰がる	あがる
	T	あ	騰げる	あげる
MISSING_CANDIDATE	髪	が	10
	T	が	共白髪	ともしらが
	T	が	友白髪	ともしらが
	T	が	白髪	しらが
	T	が	白髪まじり	しらがまじり
	T	が	白髪マーモット	しらがまーもっと
MISSING_CANDIDATE	髪	ぐし	3
	T	ぐし	お髪	おぐし
	T	ぐし	御髪	おぐし
	T	ぐし	御髪	みぐし
MISSING_CANDIDATE	鬱	う	4
	T	う	葛鬱金	くずうこん
	T	う	鬱金	うこん
	T	う	鬱金色	うこんいろ
	T	う	鬱金香	うこんこう
MISSING_CANDIDATE	鬼	ぎ	3
	T	ぎ	又鬼	またぎ
	T	ぎ	胡鬼の子	こぎのこ
	T	ぎ	胡鬼板	こぎいた
MISSING_CANDIDATE	鬼	く	3
	T	く	天の邪鬼	あまのじゃく
	T	く	天ん邪鬼	あまんじゃく
	T	く	天之邪鬼	あまのじゃく
MISSING_CANDIDATE	魂	ごん	3
	T	ごん	反魂	はんごん
	T	ごん	反魂香	はんごんこう
	T	ごん	大反魂草	おおはんごんそう
MISSING_CANDIDATE	魂	だましい	5
	T	だましい	塊魂	かたまりだましい
	T	だましい	職人魂	しょくにんだましい
	T	だましい	負けじ魂	まけじだましい
	T	だましい	雑草魂	ざっそうだましい
	T	だましい	面魂	つらだましい
MISSING_CANDIDATE	魅	ひ	4
	T	ひ	心魅かれる	こころひかれる
	T	ひ	魅かれる	ひかれる
	T	ひ	魅きつける	ひきつける
	T	ひ	魅き付ける	ひきつける
MISSING_CANDIDATE	鯨	いさ	4
	T	いさ	鯨	いさ
	T	いさ	鯨魚	いさな
	T	いさ	鯨魚取	いさなとり
	T	いさ	鯨魚取り	いさなとり
MISSING_CANDIDATE	鯨	いさな	3
	T	いさな	鯨	いさな
	T	いさな	鯨取	いさなとり
	T	いさな	鯨取り	いさなとり
MISSING_CANDIDATE	鶏	げい	4
	T	げい	猿猴鶏頭	えんこうげいとう
	T	げい	紐鶏頭	ひもげいとう
	T	げい	葉鶏頭	はげいとう
	T	げい	青鶏頭	あおげいとう
MISSING_CANDIDATE	麗	らい	11
	T	らい	高麗	こうらい
	T	らい	高麗エビ	こうらいえび
	T	らい	高麗ニンジン	こうらいにんじん
	T	らい	高麗人	こうらいじん
	T	らい	高麗人参	こうらいにんじん
MISSING_CANDIDATE	麻	お	4
	T	お	真麻	まお
	T	お	麻	お
	T	お	麻幹	おがら
	T	お	麻幹花	おがらばな
